国内,#genre#
CCTV1综合,http://go.bkpcp.top/mg/cctv1
CCTV2财经,http://go.bkpcp.top/mg/cctv2
CCTV3综艺,http://go.bkpcp.top/mg/cctv3
CCTV4中文国际,http://go.bkpcp.top/mg/cctv4
CCTV5体育,http://go.bkpcp.top/mg/cctv5
CCTV5+体育赛事,http://go.bkpcp.top/mg/cctv5p
CCTV6电影,http://go.bkpcp.top/mg/cctv6
CCTV7国防军事,http://go.bkpcp.top/mg/cctv7
CCTV8电视剧,http://go.bkpcp.top/mg/cctv8
CCTV9纪录,http://go.bkpcp.top/mg/cctv9
CCTV10科教,http://go.bkpcp.top/mg/cctv10
CCTV11戏曲,http://go.bkpcp.top/mg/cctv11
CCTV12社会与法,http://go.bkpcp.top/mg/cctv12
CCTV13新闻,http://go.bkpcp.top/mg/cctv13
CCTV14少儿,http://go.bkpcp.top/mg/cctv14
CCTV15音乐,http://go.bkpcp.top/mg/cctv15
CCTV16奥林匹克,http://go.bkpcp.top/mg/cctv16
CCTV17农业农村,http://go.bkpcp.top/mg/cctv17
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o
CCTV4美洲,http://go.bkpcp.top/mg/cctv4m
CGTN西班牙语,http://go.bkpcp.top/mg/cgtne
CGTN阿拉伯语,http://go.bkpcp.top/mg/cgtna
CGTN法语,http://go.bkpcp.top/mg/cgtnf
北京卫视,http://go.bkpcp.top/mg/bjws
东方卫视,http://go.bkpcp.top/mg/dfws
浙江卫视,http://go.bkpcp.top/mg/zjws
江苏卫视,http://go.bkpcp.top/mg/jsws
湖南卫视,http://go.bkpcp.top/mg/hunws
广东卫视,http://go.bkpcp.top/mg/gdws
深圳卫视4k,http://go.bkpcp.top/mg/szws
山东卫视,http://go.bkpcp.top/mg/sdws
河南卫视,http://go.bkpcp.top/mg/hnws
江西卫视,http://go.bkpcp.top/mg/jxws
湖北卫视,http://go.bkpcp.top/mg/hubws
海南卫视,http://go.bkpcp.top/mg/hinws
陕西卫视,http://go.bkpcp.top/mg/sxws
兵团卫视,http://go.bkpcp.top/mg/btws
黑龙江视,http://go.bkpcp.top/mg/hljws

港澳台,#genre#
凤凰资讯,http://t.061899.xyz/tl/js/js.php?id=fhwszxt
凤凰资讯,http://101.35.240.114:88/phenix.php?id=fhzx
凤凰资讯,https://cdn9.163189.xyz/smt3.1.1.php?id=phoenixinfo_hd
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰中文,http://iptv.4666888.xyz/iptv2A.php?id=27
凤凰中文,http://t.061899.xyz/tl/js/js.php?id=fhwszwt
凤凰中文,http://101.35.240.114:88/phenix.php?id=fhzw
凤凰中文,http://61.184.46.85:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰中文,http://r.jdshipin.com/cCCzW
凤凰香港,http://t.061899.xyz/tl/js/js.php?id=fhwsxgt
凤凰香港,http://101.35.240.114:88/phenix.php?id=fhhk
凤凰香港,http://r.jdshipin.com/yDoTN
凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8
翡翠台4K,http://cdn6.163189.xyz/163189/fct4k
翡翠台4K,https://o11.163189.xyz/stream/tvb/fct4k/
翡翠台,http://t.061899.xyz/tl/js/js.php?id=tvbfct
翡翠台,http://mytv.cdn.loc.cc/o12.php?id=fct
翡翠台,http://222.128.55.152:9080/live/gdfc.m3u8
翡翠台,http://101.35.240.114:88/live.php?id=翡翠台
翡翠台,https://cdn6.163189.xyz/163189/fct4k
翡翠台,https://mytv.cdn.loc.cc/o12.php?id=fct
台视,rtmp://f13h.mine.nu/sat/tv071
生命电影,http://61.216.67.119:1935/lifetv/lifetv.stream/manifest.m3u8
邵氏电影,http://iptv.4666888.xyz/iptv2A.php?id=39
人间卫视,http://61.216.67.119:1935/bltvhd/bltv1/chunklist_w1266569526.m3u8
人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/chunklist_w511254805.m3u8
千禧经典台,https://o11.163189.xyz/stream/live/tvbc/
千禧经典台,http://iptv.4666888.xyz/iptv2A.php?id=22
明珠台,https://mytv.cdn.loc.cc/o12.php?id=mzt
民視綜藝,http://iptv.4666888.xyz/iptv2A.php?id=46
民视影剧,http://iptv.4666888.xyz/iptv2A.php?id=53
民视,http://iptv.4666888.xyz/iptv2A.php?id=55
民视,rtmp://f13h.mine.nu/sat/tv051
